myelinArea,axonArea,myelinEquivDiameter,axonEquivDiameter,gRatio,myelinThickness
7.84,3.26,3.759383,2.037342,0.5419351,0.8610206
1.83,1.06,1.918245,1.161737,0.6056253,0.3782536
3.15,0.65,2.199616,0.9097283,0.4135851,0.6449438
5.43,3.06,3.287827,1.973857,0.6003532,0.6569846
6.11,2.3,3.2723,1.711272,0.5229569,0.7805139
3.32,1.85,2.565667,1.534762,0.598192,0.5154529
1.7,1.24,1.934767,1.25651,0.6494372,0.3391287
1.09,1.19,1.703815,1.230916,0.722447,0.2364495
3.21,1.97,2.568147,1.583756,0.6166919,0.4921959
1.07,0.8,1.543035,1.009253,0.6540699,0.2668912
2.15,1.4,2.126029,1.335116,0.6279858,0.3954565
1.48,0.99,1.773387,1.122723,0.6330953,0.325332
4.53,2.79,3.052886,1.884765,0.6173714,0.5840607
1.6,1.36,1.941337,1.315905,0.6778345,0.3127159
2.44,1.78,2.317989,1.505445,0.649462,0.4062716
1.23,0.87,1.635177,1.052482,0.6436504,0.2913473
1.6,1.24,1.901578,1.25651,0.6607721,0.3225343
6.5,4.12,3.677201,2.290359,0.6228541,0.6934205
9.06,6.39,4.435262,2.852368,0.6431114,0.7914473
13.8,7.62,5.222336,3.114817,0.5964414,1.053759
1.74,1.32,1.973857,1.296409,0.6567896,0.3387242
7.4,3.36,3.701359,2.068353,0.5588091,0.8165029
6.5,2.79,3.439243,1.884765,0.5480173,0.7772393
2.54,1.35,2.225512,1.311058,0.5891042,0.4572267
1.11,0.82,1.567594,1.021791,0.6518208,0.2729018
2.28,1.7,2.251109,1.471226,0.6535562,0.3899415
2.13,1.81,2.239769,1.518079,0.6777838,0.3608449
10.72,6.35,4.661995,2.843426,0.609916,0.9092848
2.08,1.56,2.15281,1.409345,0.6546537,0.3717325
1.43,0.9,1.722396,1.070474,0.6215031,0.3259608
2.19,0.72,1.924871,0.9574615,0.497416,0.4837046
5.97,2.6,3.303281,1.819457,0.5508029,0.7419119
3.14,1.78,2.502866,1.505445,0.6014886,0.4987103
3.54,2.22,2.70811,1.681247,0.6208193,0.5134315
11.54,5.94,4.71765,2.750099,0.5829382,0.9837759
10.75,8.76,4.984065,3.339697,0.670075,0.8221838
8.09,5.66,4.184142,2.684499,0.6415889,0.7498214
3.32,2.27,2.667847,1.700075,0.6372458,0.4838864
1.13,0.86,1.591775,1.046416,0.6573894,0.2726794
8.62,3.94,3.998986,2.239769,0.5600842,0.8796085
6.64,2.56,3.422543,1.805407,0.5275044,0.8085683
